executed_at,directory,u_max_value,u_t_at_max,u_altitude_at_max,u_min_value,u_t_at_min,u_altitude_at_min,theta_max_value,theta_t_at_max,theta_altitude_at_max,theta_min_value,theta_t_at_min,theta_altitude_at_min
2025-11-03 20:55:23,output/results_202511_gamma_0.00402_theta0_210.0/Mars/20251103T145410_SuperCritical_num781_alp0-62_gamma4-02_dt0.1,37.39503896017041,16,1194.8913134938125,-26.008090252342114,6,314.9887370632481,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-11-03 23:13:23,output/results_202511_gamma_0.00241_theta0_230.0/Mars/20251103T214506_SuperCritical_num261_alp30_gamma2-41_dt0.1,42.76204981435191,13,199.60085382243,-35.07659830737311,5,35.36074623405793,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-11-08 13:36:53,output/results_202511_gamma_0.00241_theta0_230.0/Mars/20251108T121503_SuperCritical_num261_alp10_gamma2-41_dt0.1,42.669696319257326,13,341.9090631939377,-34.569491596936544,6,91.1899017669064,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-11-08 15:28:55,output/results_202511_gamma_0.00241_theta0_230.0/Mars/20251108T135427_SuperCritical_num261_alp5_gamma2-41_dt0.1,42.441847046710485,14,475.8105199223831,-35.81163403465793,6,128.64698331730202,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-11-08 17:24:37,output/results_202511_gamma_0.00241_theta0_230.0/Mars/20251108T155609_SuperCritical_num261_alp2_gamma2-41_dt0.1,45.26512592718444,13,804.5605720008068,-33.76684293510877,6,198.4890775571928,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-11-08 22:35:07,output/results_202511_gamma_0.00241_theta0_230.0/Mars/20251108T211303_SuperCritical_num261_alp1_gamma2-41_dt0.1,46.16015238011282,16,1090.2239664905635,-29.923145751890004,2,225.1690901643173,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-11-09 00:12:02,output/results_202511_gamma_0.00241_theta0_230.0/Mars/20251108T224901_SuperCritical_num261_alp0-99_gamma2-41_dt0.1,46.20450609688774,16,1093.5429589502828,-30.069411588894106,2,225.85457730768184,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-11-10 00:22:42,output/results_202511_gamma_0.00241_theta0_230.0/Mars/20251109T225808_Critical_num261_alp0-65_gamma2-41_dt0.1,44.61916509011333,18,1210.9706443113205,-40.81796672052086,8,1236.4202067715762,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-11-15 11:29:57,output/results_202511_gamma_0.00241_theta0_230.0/Mars/20251115T100736_SubCritical_num261_alp0-6_gamma2-41_dt0.1,38.8561764856498,19,1059.1284062980687,-38.444002570585326,8,1240.239925904131,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-11-15 16:35:28,output/results_202511_gamma_0.00241_theta0_230.0/Mars/20251115T151133_SuperCritical_num261_alp0-8_gamma2-41_dt0.1,47.8565213768666,16,1234.194128309407,-35.42207473457327,6,355.3532838416268,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-11-16 00:52:17,output/results_202511_gamma_0.00241_theta0_230.0/Mars/20251115T232122_SubCritical_num261_alp0-4_gamma2-41_dt0.1,19.223258238735603,19,887.6549730415479,-21.31975138611574,9,1503.238646227515,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-11-16 12:53:55,output/results_202511_gamma_0.00241_theta0_230.0/Mars/20251116T113145_SubCritical_num261_alp0-35_gamma2-41_dt0.1,16.26499737044973,19,875.2577597332833,-18.162220800479155,9,1484.3577530136015,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-11-16 16:44:01,output/results_202511_gamma_0.00241_theta0_230.0/Mars/20251116T152133_SubCritical_num261_alp0-55_gamma2-41_dt0.1,32.39153413888825,19,1002.6413743653268,-33.68449081696393,9,1687.355165973304,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-11-17 13:26:46,output/results_202511_gamma_0.00241_theta0_230.0/Mars/20251117T120331_SubCritical_num261_alp0-5_gamma2-41_dt0.1,26.79751307876223,19,944.1942077818323,-28.774390441179406,9,1593.074467644664,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-11-17 21:07:35,output/results_202511_gamma_0.00241_theta0_230.0/Mars/20251117T194544_SuperCritical_num261_alp0-75_gamma2-41_dt0.1,48.468573345154255,17,1268.249625247189,-38.20117688280563,7,708.5965088268532,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-11-17 23:13:41,output/results_202511_gamma_0.00241_theta0_230.0/Mars/20251117T215159_SuperCritical_num261_alp0-85_gamma2-41_dt0.1,47.41895602370988,16,1190.112020881462,-33.09274418201209,6,320.85905521381187,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-11-18 10:48:43,output/results_202511_gamma_0.00241_theta0_230.0/Mars/20251118T092728_SuperCritical_num261_alp1-5_gamma2-41_dt0.1,49.22629222680809,14,969.2042235071832,-33.390359928148165,7,461.8361399004969,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-11-18 13:30:42,output/results_202511_gamma_0.00241_theta0_230.0/Mars/20251118T120820_SuperCritical_num261_alp1-25_gamma2-41_dt0.1,49.20213466579876,15,1031.0258418937435,-29.769848738475105,7,467.88481996909377,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-11-18 15:25:22,output/results_202511_gamma_0.00241_theta0_230.0/Mars/20251118T140305_SuperCritical_num261_alp2-25_gamma2-41_dt0.1,43.47271633568137,13,730.6581726484756,-34.0644380897995,6,189.7441996298421,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
