now,num,alpha_deg,Theta,K,K_file,g,omega,theta_0,surface_temp,gamma,dt,output_path,Completed
,10,0.24,100.0,0,K/AllDay_3.nc,3.72,7.08e-05,210.0,TestGroundTheta0.nc,0.00402,0.1,output/test,
,10,0.24,100.0,0,K/AllDay_3.nc,3.72,7.08e-05,210.0,TestGroundTheta0.nc,0.00402,0.1,output/test,0
,10,0.24,100.0,,K/AllDay_3.nc,3.72,7.08e-05,210.0,TestGroundTheta0.nc,0.00402,0.1,output/test,
,10,0.24,100.0,,K/AllDay_3.nc,3.72,7.08e-05,210.0,TestGroundTheta0.nc,0.00402,0.1,output/test,
,10,0.24,100.0,,K/testdata/test_num10.nc,3.72,7.08e-05,210.0,TestGroundTheta0.nc,0.00402,0.1,output/test,
,10,0.24,100.0,,K/testdata/test_num10.nc,3.72,7.08e-05,210.0,TestGroundTheta0.nc,0.00402,0.1,output/test,
,10,0.24,100.0,,K/testdata/test_num10.nc,3.72,7.08e-05,210.0,TestGroundTheta0.nc,0.00402,0.1,output/test,
,10,0.24,100.0,,K/testdata/test_num10_2.nc,3.72,7.08e-05,210.0,TestGroundTheta0.nc,0.00402,0.1,output/test,
,10,0.24,100.0,,K/testdata/test_num10_2.nc,3.72,7.08e-05,210.0,TestGroundTheta0.nc,0.00402,0.1,output/test,
,50,0.24,100.0,,K/testdata/test_num10.nc,3.72,7.08e-05,210.0,GroundTemp_cos.nc,0.00402,0.1,output/test,
,10,0.24,100.0,,K/testdata/test_num10.nc,3.72,7.08e-05,210.0,GroundTemp_cos.nc,0.00402,0.1,output/test,
,10,30,100.0,,K/testdata/test_num10.nc,3.72,7.08e-05,210.0,GroundTemp_cos.nc,0.00402,0.1,output/test,
,10,0.96,100.0,,K/testdata/test_num10.nc,3.72,7.08e-05,210.0,GroundTemp_cos.nc,0.00402,0.1,output/test,
,260,0.9,100.0,100.0,K/Day100_night3.nc,3.72,7.08e-05,210.0,TestGroundTheta0.nc,0.001125,0.1,output/results,
,260,0.9,100.0,100.0,K/Day100_night3.nc,3.72,7.08e-05,210.0,TestGroundTheta0.nc,0.001125,0.1,output/results,0
,10,0.96,100.0,,K/testdata/test_num10.nc,3.72,7.08e-05,210.0,GroundTemp_cos.nc,0.00402,0.1,output/test,
,10,0.96,100.0,,K/testdata/test_num10.nc,3.72,7.08e-05,210.0,GroundTemp_cos.nc,0.00402,0.1,output/test,
,10,0.96,100.0,,K/testdata/test_num10.nc,3.72,7.08e-05,210.0,GroundTemp_cos.nc,0.00402,0.1,output/test,
,10,0.96,100.0,,K/testdata/test_num10.nc,3.72,7.08e-05,210.0,GroundTemp_cos.nc,0.00402,0.1,output/test,
,10,0.96,100.0,,K/testdata/test_num10.nc,3.72,7.08e-05,210.0,GroundTemp_cos.nc,0.00402,0.1,output/test,0
,10,0.96,100.0,,K/testdata/test_num10.nc,3.72,7.08e-05,210.0,GroundTemp_cos.nc,0.00402,0.1,output/test,
,10,0.96,100.0,,K/testdata/test_num10.nc,3.72,7.08e-05,210.0,GroundTemp_cos.nc,0.00402,0.1,output/test,0
,10,0.96,100.0,,K/testdata/test_num10.nc,3.72,7.08e-05,210.0,GroundTemp_cos.nc,0.00402,0.1,output/test,
,10,0.96,100.0,,K/testdata/test_num10.nc,3.72,7.08e-05,210.0,GroundTemp_cos.nc,0.00402,0.1,output/test,
,10,0.96,100.0,,K/testdata/test_num10.nc,3.72,7.08e-05,210.0,GroundTemp_cos.nc,0.00402,0.1,output/test,
,10,0.96,100.0,,K/testdata/test_num10.nc,3.72,7.08e-05,210.0,GroundTemp_cos.nc,0.00402,0.1,output/test,0
,10,0.96,100.0,,K/testdata/test_num10.nc,3.72,7.08e-05,210.0,GroundTemp_cos.nc,0.00402,0.1,output/test,
,10,0.96,100.0,,K/testdata/test_num10.nc,3.72,7.08e-05,210.0,GroundTemp_cos.nc,0.00402,0.1,output/test,
,10,0.96,100.0,,K/testdata/test_num10.nc,3.72,7.08e-05,210.0,GroundTemp_cos.nc,0.00402,0.1,output/test,
,10,0.96,100.0,,K/testdata/test_num10.nc,3.72,7.08e-05,210.0,GroundTemp_cos.nc,0.00402,0.1,output/test,
,10,0.96,100.0,,K/testdata/test_num10.nc,3.72,7.08e-05,210.0,GroundTemp_cos.nc,0.00402,0.1,output/test,0
,10,0.96,100.0,,K/testdata/test_num10_2.nc,3.72,7.08e-05,210.0,GroundTemp_cos.nc,0.00402,0.1,output/test,
,10,0.96,100.0,,K/testdata/test_num10_2.nc,3.72,7.08e-05,210.0,GroundTemp_cos.nc,0.00402,0.1,output/test,
,10,0.96,100.0,,K/testdata/test_num10_2.nc,3.72,7.08e-05,210.0,GroundTemp_cos.nc,0.00402,0.1,output/test,
,10,0.96,100.0,,K/testdata/test_num10_2.nc,3.72,7.08e-05,210.0,GroundTemp_cos.nc,0.00402,0.1,output/test,
,10,0.96,100.0,,K/testdata/test_num10_2.nc,3.72,7.08e-05,210.0,GroundTemp_cos.nc,0.00402,0.1,output/test,
,10,0.24,100.0,,K/testdata/test_num10_2.nc,3.72,7.08e-05,210.0,GroundTemp_cos.nc,0.00402,0.1,output/test,
,10,30.0,100.0,,K/testdata/test_num10_2.nc,3.72,7.08e-05,210.0,GroundTemp_cos.nc,0.00402,0.1,output/test,
,10,30.0,100.0,,K/testdata/test_num10_2.nc,3.72,7.08e-05,210.0,GroundTemp_cos.nc,0.00402,0.1,output/test,
,10,0.24,100.0,,K/testdata/test_num10_2.nc,3.72,7.08e-05,210.0,GroundTemp_cos.nc,0.00402,0.1,output/test,
,10,0.96,100.0,,K/testdata/test_num10_2.nc,3.72,7.08e-05,210.0,GroundTemp_cos.nc,0.00402,0.1,output/test,
,10,0.96,100.0,,K/testdata/test_num10_2.nc,3.72,7.08e-05,210.0,GroundTemp_cos.nc,0.00402,0.1,output/test,
,10,0.96,100.0,,K/testdata/test_num10_2.nc,3.72,7.08e-05,210.0,GroundTemp_cos.nc,0.00402,0.1,output/test,
,260,0.96,100.0,,K/testdata/test_num10_2.nc,3.72,7.08e-05,210.0,GroundTemp_cos.nc,0.00402,0.1,output/test,
,260,0.96,100.0,,K/Day100_night3.nc,3.72,7.08e-05,210.0,GroundTemp_cos.nc,0.00402,0.1,output/test,
,10,0.24,100.0,,K/testdata/test_num10.nc,3.72,7.08e-05,210.0,GroundTemp_sin.nc,0.00402,0.1,output/validation,
,10,0.24,100.0,,K/testdata/test_num10.nc,3.72,7.08e-05,210.0,GroundTemp_sin.nc,0.00402,0.1,output/validation,
,10,0.24,100.0,,K/testdata/test_num10.nc,3.72,7.08e-05,210.0,GroundTemp_sin.nc,0.00402,0.1,output/validation,
,10,0.24,100.0,,K/testdata/test_num10.nc,3.72,7.08e-05,210.0,GroundTemp_sin.nc,0.00402,0.1,output/validation,
,10,0.24,100.0,,K/testdata/test_num10.nc,3.72,7.08e-05,210.0,GroundTemp_sin.nc,0.00402,0.1,output/validation,
,10,0.24,100.0,,K/testdata/test_num10.nc,3.72,7.08e-05,210.0,GroundTemp_sin.nc,0.00402,0.1,output/validation_dn_before,
,10,0.24,100.0,,K/testdata/test_num10_2.nc,3.72,7.08e-05,210.0,GroundTemp_sin.nc,0.00402,0.1,output/validation_dn_before,
,10,0.24,100.0,,K/testdata/test_num10_2.nc,3.72,7.08e-05,210.0,TestGroundTheta0.nc,0.00402,0.1,output/validation_dn_before,
,10,0.96,100.0,,K/testdata/test_num10.nc,3.72,7.08e-05,210.0,GroundTemp_sin.nc,0.00402,0.1,output/validation_dn_before,
